complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.4885,0.0087,0,[],[],841.89,0.0,0.24,24,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",39,0.85,1070,0.002135,0.8,0,595.28
0.4885,0.0021,0,[],[],841.89,0.0,0.24,24,TEXT_TABLE_FAST,2,"good_text_layer,simple_table_signal",39,0.85,1070,0.002135,0.8,0,595.28
0.4823,0.002,0,[],[],841.89,0.0,0.24,24,TEXT_TABLE_FAST,3,"good_text_layer,simple_table_signal",37,0.85,1067,0.002129,0.8,0,595.28
