code,evidence,level,message,mode,page,score,suggested_action,target
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""FaintrastertextwithskewandnoisemarkerCo9-NOISE-P01"", ""CO9-P01-T1-R04"", ""EXC-01-04-05WRAP-C09-01-04""], ""vlm_values"": [""C09-NOISE-P01"", ""C09-P01-T1-R04"", ""EXC-01-04-05"", ""WRAP-C09-01-04""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,1,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 4, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,1,0.8,raw_outputのOCR/VLM候補値を確認してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""FaintrastertextwithskewandnoisemarkerCo9-NOISE-P02"", ""EXC-02-04-05WRAP-C09-02-04"", ""CO9-P02-T1-R07""], ""vlm_values"": [""C09-NOISE-P02"", ""EXC-02-04-05"", ""WRAP-C09-02-04"", ""C09-P02-T1-R07""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,2,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 4, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,2,0.8,raw_outputのOCR/VLM候補値を確認してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""QualityScan3"", ""FaintrastertextwithskewandnoisemarkerCo9-NOISE-P03"", ""EXC-03-04-05WRAP-C09-03-04""], ""vlm_values"": [""C09-NOISE-P03"", ""EXC-03-04-05"", ""WRAP-C09-03-04""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,3,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 3, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,3,0.8,raw_outputのOCR/VLM候補値を確認してください。,
