complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.5958,0.0084,0,[],[],841.89,0.0,0.265,30,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",34,0.975,1110,0.002215,0.8,0,595.28
0.5958,0.0027,0,[],[],841.89,0.0,0.265,30,TEXT_TABLE_FAST,2,"good_text_layer,simple_table_signal",34,0.975,1111,0.002217,0.8,0,595.28
0.5958,0.0026,0,[],[],841.89,0.0,0.265,30,TEXT_TABLE_FAST,3,"good_text_layer,simple_table_signal",34,0.975,1112,0.002219,0.8,0,595.28
0.5958,0.0028,0,[],[],841.89,0.0,0.265,30,TEXT_TABLE_FAST,4,"good_text_layer,simple_table_signal",34,0.975,1109,0.002213,0.8,0,595.28
