complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.1698,0.0049,0,[],[],841.89,0.0,0.0997,10,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",11,0.4587,623,0.001243,0.9773,0,595.28
1.0,0.2142,0,[],[],841.89,0.0,0.27,90,TEXT_TABLE_ACCURATE,2,"good_text_layer,complex_table_signal",151,1.0,10362,0.010338,0.8,1,1190.55
0.9469,0.123,0,[],[],841.89,0.0,0.2455,63,TEXT_TABLE_ACCURATE,3,"good_text_layer,complex_table_signal",114,1.0,5860,0.011693,0.8701,1,595.28
0.0781,0.0027,0,[],[],841.89,0.3883,0.2279,0,IMAGE_RECONCILE,4,"weak_text_layer,fallback_reconcile",0,0.2656,193,0.000385,1.0,1,595.28
0.0833,0.0764,1,"[{'region_index': 1, 'bbox': [45.35, 330.9, 549.92, 731.2], 'area_ratio': 0.403, 'width_ratio': 0.8476, 'height_ratio': 0.4755, 'text_overlap_ratio': 0.0, 'visual_complexity_score': 0.842, 'caption_geometry_score': 1.0, 'nearest_caption': '表4:', 'page_visual_reference_count': 1, 'reasons': ['visual_complexity', 'caption_geometry', 'large_visual_region', 'text_layer_visual_reference']}]",['IMAGE_RECONCILE_APPEND'],841.89,0.403,0.238,0,TEXT_LIGHT,5,"good_text_layer,no_table_signal,embedded_visual_region_candidate",0,0.2833,233,0.000465,1.0,1,595.28
0.8187,0.0684,1,"[{'region_index': 1, 'bbox': [76.97, 197.56, 518.31, 418.66], 'area_ratio': 0.1947, 'width_ratio': 0.7414, 'height_ratio': 0.2626, 'text_overlap_ratio': 0.0, 'visual_complexity_score': 0.8341, 'caption_geometry_score': 0.9725, 'nearest_caption': '表5+表6: テキスト表と画像表の混在ページ', 'page_visual_reference_count': 3, 'reasons': ['visual_complexity', 'caption_geometry', 'text_layer_visual_reference']}]",['IMAGE_RECONCILE_APPEND'],841.89,0.1947,0.3352,38,TEXT_TABLE_ACCURATE,6,"good_text_layer,complex_table_signal,embedded_visual_region_candidate",64,1.0,2000,0.003991,0.8642,3,595.28
0.7937,0.0431,0,[],[],841.89,0.0,0.267,43,TEXT_TABLE_ACCURATE,7,"good_text_layer,complex_table_signal",51,1.0,2107,0.004204,0.8086,1,595.28
0.7021,0.0391,0,[],[],841.89,0.0,0.2575,38,TEXT_TABLE_ACCURATE,8,"good_text_layer,complex_table_signal",40,1.0,1847,0.001843,0.8357,1,1190.55
0.7219,0.0178,0,[],[],841.89,0.0,0.2294,35,TEXT_TABLE_ACCURATE,9,"good_text_layer,complex_table_signal",36,0.9892,1056,0.002107,0.9099,1,595.28
