run_id,phase,pipeline,config_id,case_id,filename,status,expected_pages,detected_pages,expected_tables,detected_tables,text_anchor_recall,table_cell_recall,table_detection_ratio,table_detection_precision,table_detection_f1,case_confidence_score,low_confidence,overall_score,convert_seconds,total_seconds,seconds_per_page,markdown_chars,request_count,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,error
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_markdown_s2_0_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,6,0.8,0.6667,1.0,0.1667,0.2857,0.0,True,0.7467,31.216,31.23,10.41,3985,3,8622,2313,10935,0.05625,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_markdown_s2_0_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,18.841,18.851,6.284,2794,3,8427,1023,9450,0.036413,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,12.33,12.342,6.171,3196,2,5748,1246,6994,0.009918,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,17,0.8889,0.9205,1.0,0.5294,0.6923,0.6834,True,0.9174,48.354,48.401,5.378,18262,9,25866,7622,33488,0.053699,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,13.875,13.885,3.471,3734,4,11236,1548,12784,0.015393,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,C06,case6.pdf,ok,3,3,1,8,0.8,0.5,1.0,0.125,0.2222,0.0,True,0.655,16.14,16.155,5.385,3720,3,8622,2323,10945,0.01692,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_4_mini_markdown_s2_0_rnone_strict_preserve,C09,case09_low_quality_skewed_scan_3p.pdf,ok,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,13.304,13.311,4.437,2790,3,8427,1021,9448,0.010915,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,C01,case01_clean_financial_2p.pdf,ok,2,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,18.004,18.012,9.006,3196,2,6680,1246,7926,0.03539,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,C03,case03_mixed_orientation_9p.pdf,ok,9,9,9,11,0.8889,0.9792,1.0,0.8182,0.9,0.8928,False,0.9497,96.516,96.554,10.728,18298,9,30060,7606,37666,0.18924,
poc_all_20260504_001,pilot,vlm,vlm_gpt_5_2_markdown_s2_0_rnone_strict_preserve,C05,case05_scanned_image_4p.pdf,ok,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,False,1.0,24.861,24.871,6.218,3726,4,14404,1544,15948,0.05917,
