complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.3802,0.0255,0,[],[],841.89,0.0,0.2262,17,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",18,0.7812,1111,0.002217,0.8,0,595.28
0.3802,0.0025,0,[],[],841.89,0.0,0.2262,17,TEXT_TABLE_FAST,2,"good_text_layer,simple_table_signal",18,0.7812,1111,0.002217,0.8,0,595.28
0.3802,0.0023,0,[],[],841.89,0.0,0.2262,17,TEXT_TABLE_FAST,3,"good_text_layer,simple_table_signal",18,0.7812,1111,0.002217,0.8,0,595.28
