complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.5167,0.0028,0,[],[],595.28,0.0,0.2,31,TEXT_TABLE_FAST,179,"good_text_layer,simple_table_signal",31,0.8875,1073,0.004297,0.9357,0,419.53
0.5396,0.0043,0,[],[],595.28,0.0,0.1978,18,TEXT_TABLE_FAST,180,"good_text_layer,simple_table_signal",18,0.965,1235,0.004945,0.9864,0,419.53
0.2896,0.0035,0,[],[],595.28,0.0,0.1202,8,TEXT_TABLE_FAST,181,"good_text_layer,simple_table_signal",8,0.5775,1338,0.005358,0.9865,0,419.53
0.6625,0.0028,0,[],[],595.28,0.0,0.2056,66,TEXT_TABLE_ACCURATE,182,"good_text_layer,complex_table_signal",66,0.8,828,0.003316,0.8696,0,419.53
0.8333,0.0038,0,[],[],595.28,0.0,0.25,83,TEXT_TABLE_ACCURATE,183,"good_text_layer,complex_table_signal",83,0.9,1204,0.004821,0.8,0,419.53
0.7854,0.0065,0,[],[],595.28,0.0,0.2237,64,TEXT_TABLE_ACCURATE,184,"good_text_layer,complex_table_signal",64,0.9625,1992,0.007976,0.9108,0,419.53
0.5708,0.0033,0,[],[],595.28,0.0,0.2055,38,TEXT_TABLE_FAST,185,"good_text_layer,simple_table_signal",38,0.9,1107,0.004433,0.9272,0,419.53
0.5896,0.0044,0,[],[],595.28,0.0,0.2001,41,TEXT_TABLE_FAST,186,"good_text_layer,simple_table_signal",41,0.9,1432,0.005734,0.9425,0,419.53
0.4458,0.0029,0,[],[],595.28,0.0,0.1913,28,TEXT_TABLE_FAST,187,"good_text_layer,simple_table_signal",28,0.825,980,0.003924,0.9248,0,419.53
0.5458,0.0042,0,[],[],595.28,0.0,0.1937,34,TEXT_TABLE_FAST,188,"good_text_layer,simple_table_signal",34,0.9,1316,0.00527,0.961,0,419.53
0.6687,0.0074,0,[],[],595.28,0.0,0.225,27,TEXT_TABLE_ACCURATE,189,"good_text_layer,complex_table_signal",27,1.0,2196,0.008793,0.9286,0,419.53
0.5708,0.0032,0,[],[],595.28,0.0,0.1962,43,TEXT_TABLE_FAST,190,"good_text_layer,simple_table_signal",43,0.8625,1140,0.004565,0.9324,0,419.53
0.4667,0.003,0,[],[],595.28,0.0,0.2055,23,TEXT_TABLE_FAST,191,"good_text_layer,simple_table_signal",23,0.8875,1023,0.004096,0.9199,0,419.53
0.6021,0.0064,0,[],[],595.28,0.0,0.2327,38,TEXT_TABLE_ACCURATE,192,"good_text_layer,complex_table_signal",38,0.9375,2274,0.009106,0.8709,0,419.53
0.3333,0.0026,0,[],[],595.28,0.0,0.151,25,TEXT_TABLE_FAST,193,"good_text_layer,simple_table_signal",25,0.7125,1003,0.004016,0.9758,0,419.53
0.4208,0.0031,0,[],[],595.28,0.0,0.1672,14,TEXT_TABLE_FAST,194,"good_text_layer,simple_table_signal",14,0.795,976,0.003908,0.9766,0,419.53
0.8125,0.0057,0,[],[],595.28,0.0,0.251,65,TEXT_TABLE_ACCURATE,195,"good_text_layer,complex_table_signal",65,0.9875,1644,0.006583,0.847,0,419.53
0.3917,0.0041,0,[],[],595.28,0.0,0.1834,11,TEXT_TABLE_FAST,196,"good_text_layer,simple_table_signal",11,0.73,1446,0.00579,0.8931,0,419.53
0.6583,0.0045,0,[],[],595.28,0.0,0.2575,47,TEXT_TABLE_ACCURATE,197,"good_text_layer,complex_table_signal",47,0.9375,1378,0.005518,0.8,0,419.53
0.5542,0.0033,0,[],[],595.28,0.0,0.2029,42,TEXT_TABLE_FAST,198,"good_text_layer,simple_table_signal",42,0.85,1062,0.004253,0.9061,0,419.53
0.1688,0.0016,0,[],[],595.28,0.0,0.1072,12,TEXT_TABLE_FAST,199,"good_text_layer,simple_table_signal",12,0.4725,603,0.002415,0.9637,0,419.53
0.5417,0.0057,0,[],[],595.28,0.0,0.2114,25,TEXT_TABLE_FAST,200,"good_text_layer,simple_table_signal",25,0.9625,1738,0.006959,0.9459,0,419.53
0.5479,0.0039,0,[],[],595.28,0.0,0.1863,41,TEXT_TABLE_FAST,201,"good_text_layer,simple_table_signal",41,0.85,1366,0.00547,0.9533,0,419.53
0.6021,0.0069,0,[],[],595.28,0.0,0.2503,28,TEXT_TABLE_ACCURATE,202,"good_text_layer,complex_table_signal",28,1.0,2344,0.009386,0.8562,0,419.53
0.3781,0.0036,0,[],[],595.28,0.0,0.1876,10,TEXT_TABLE_FAST,203,"good_text_layer,simple_table_signal",11,0.7088,1241,0.004969,0.869,0,419.53
0.2896,0.003,0,[],[],595.28,0.0,0.1921,18,TEXT_TABLE_FAST,204,"good_text_layer,simple_table_signal",18,0.6775,1084,0.004341,0.8382,0,419.53
