code,evidence,level,message,mode,page,score,suggested_action,target
EMBEDDED_VISUAL_REGION_CANDIDATE,"{""embedded_visual_region_count"": 1, ""embedded_visual_regions"": [{""region_index"": 1, ""bbox"": [45.35, 330.9, 549.92, 731.2], ""area_ratio"": 0.403, ""width_ratio"": 0.8476, ""height_ratio"": 0.4755, ""text_overlap_ratio"": 0.0, ""visual_complexity_score"": 0.842, ""caption_geometry_score"": 1.0, ""nearest_caption"": ""表4:"", ""page_visual_reference_count"": 1, ""reasons"": [""visual_complexity"", ""caption_geometry"", ""large_visual_region"", ""text_layer_visual_reference""]}], ""visual_reference_count"": 1}",info,テキストレイヤー付きページ内に、通常のテキスト抽出では拾えない可能性がある埋め込み画像領域を検知したため、OCR/VLM追加突合を実行しました。,IMAGE_RECONCILE_APPEND,5,0.842,追加抽出結果と通常抽出結果を確認してください。不一致や読み取り不明がある場合は対象ページを絞るか解像度を上げて再投入してください。,
VLM_VLM_DISAGREEMENT,"{""comparison_kind"": ""critical_value_conflict"", ""field_type"": ""amount"", ""primary_model"": ""gpt-5.4-mini"", ""secondary_model"": ""gpt-5.4-mini"", ""primary_values"": [], ""secondary_values"": [""25,478,959"", ""28,220,156"", ""31,757,316"", ""27,971,768"", ""22,874,713"", ""33,176,764"", ""21,211,692"", ""29,167,254"", ""30,954,269"", ""27,474,762"", ""24,936,660"", ""28,322,194"", ""26,269,868"", ""24,578,776"", ""17,724,899"", ""21,674,313"", ""25,157,819"", ""18,189,013""]}",needs_retry,amount differs between VLM candidates.,IMAGE_RECONCILE_APPEND,5,0.9,Review both raw VLM candidates and rerun the target page if needed.,
VLM_TABLE_STRUCTURE_DISAGREEMENT,"{""comparison_kind"": ""table_column_count_mismatch"", ""primary_model"": ""gpt-5.4-mini"", ""secondary_model"": ""gpt-5.4-mini"", ""primary_numeric_cells"": 90, ""secondary_numeric_cells"": 108, ""chosen_source"": ""secondary"", ""shape_conflicts"": [{""table_index"": 0, ""comparison_kind"": ""table_column_count_mismatch"", ""mismatched_aligned_row_count"": 18, ""primary_extra_numeric_cells"": 0, ""secondary_extra_numeric_cells"": 18, ""examples"": [{""primary_row_index"": 3, ""secondary_row_index"": 4, ""primary_columns"": 7, ""secondary_columns"": 8, ""alignment_score"": 1.0}, {""primary_row_index"": 4, ""secondary_row_index"": 5, ""primary_columns"": 7, ""secondary_columns"": 8, ""alignment_score"": 1.0}, {""primary_row_index"": 5, ""secondary_row_index"": 6, ""primary_columns"": 7, ""secondary_columns"": 8, ""alignment_score"": 1.0}, {""primary_row_index"": 6, ""secondary_row_index"": 7, ""primary_columns"": 7, ""secondary_columns"": 8, ""alignment_score"": 1.0}, {""primary_row_index"": 7, ""secondary_row_index"": 8, ""primary_columns"": 7, ""secondary_columns"": 8, ""alignment_score"": 1.0}]}]}",needs_retry,VLM candidates disagree on table structure.,IMAGE_RECONCILE_APPEND,5,0.86,Use local table fallback or review the candidate with more complete columns.,
EMBEDDED_VISUAL_REGION_CANDIDATE,"{""embedded_visual_region_count"": 1, ""embedded_visual_regions"": [{""region_index"": 1, ""bbox"": [76.97, 197.56, 518.31, 418.66], ""area_ratio"": 0.1947, ""width_ratio"": 0.7414, ""height_ratio"": 0.2626, ""text_overlap_ratio"": 0.0, ""visual_complexity_score"": 0.8341, ""caption_geometry_score"": 0.9725, ""nearest_caption"": ""表5+表6: テキスト表と画像表の混在ページ"", ""page_visual_reference_count"": 3, ""reasons"": [""visual_complexity"", ""caption_geometry"", ""text_layer_visual_reference""]}], ""visual_reference_count"": 3}",info,テキストレイヤー付きページ内に、通常のテキスト抽出では拾えない可能性がある埋め込み画像領域を検知したため、OCR/VLM追加突合を実行しました。,IMAGE_RECONCILE_APPEND,6,0.8341,追加抽出結果と通常抽出結果を確認してください。不一致や読み取り不明がある場合は対象ページを絞るか解像度を上げて再投入してください。,
