complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.4688,0.0086,0,[],[],842.1,0.0,0.13,0,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",0,0.65,439,0.000876,1.0,0,595.43
0.7594,0.0205,0,[],[],842.1,0.0,0.227,27,TEXT_TABLE_ACCURATE,2,"good_text_layer,complex_table_signal",56,1.0,1335,0.002662,0.9229,0,595.43
0.5,0.0155,0,[],[],842.1,0.0,0.1463,0,TEXT_TABLE_FAST,3,"good_text_layer,simple_table_signal",0,0.65,1120,0.002234,0.9533,0,595.43
