run_id,case_id,filename,pipeline,config_id,status,error,expected_pages,detected_pages,file_size_mb,detected_tables,chunk_pages,chunk_count,markdown_chars,table_text_chars,convert_seconds,total_seconds,seconds_per_page,relative_markdown_recall,relative_markdown_hits,relative_markdown_total,relative_table_recall,relative_table_hits,relative_table_total,relative_table_count_ratio,relative_markdown_chars_ratio,relative_overall,do_table_structure,tableformer_mode,do_cell_matching,do_ocr,force_full_page_ocr,force_backend_text,images_scale,generate_page_images,batch_profile,ocr_batch_size,layout_batch_size,table_batch_size,settings_json
case13_standard_20260504_002,C13,case13.pdf,standard,std_baseline_accurate,ok,,316,316,3.289,405,25,13,1262119,1565011,1910.419,1910.439,6.046,1.0,2500,2500,1.0,5000,5000,1.0,1.0,1.0,True,accurate,True,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": true, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
case13_standard_20260504_002,C13,case13.pdf,standard,std_no_table_structure,ok,,316,316,3.289,405,25,13,985836,1381390,238.739,238.759,0.756,0.7928,1982,2500,0.6416,3208,5000,1.0,0.7811,0.7594,False,accurate,True,True,False,False,1.0,False,default,4,4,4,"{""batch_profile"": ""default"", ""do_cell_matching"": true, ""do_ocr"": true, ""do_table_structure"": false, ""force_backend_text"": false, ""force_full_page_ocr"": false, ""generate_page_images"": false, ""images_scale"": 1.0, ""layout_batch_size"": 4, ""ocr_batch_size"": 4, ""table_batch_size"": 4, ""tableformer_mode"": ""accurate""}"
