complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.6177,0.011,0,[],[],841.89,0.0,0.27,29,TEXT_TABLE_ACCURATE,1,"good_text_layer,complex_table_signal",32,1.0,2120,0.00423,0.8,0,595.28
0.6177,0.0055,0,[],[],841.89,0.0,0.27,29,TEXT_TABLE_ACCURATE,2,"good_text_layer,complex_table_signal",32,1.0,2119,0.004228,0.8,0,595.28
0.6177,0.0056,0,[],[],841.89,0.0,0.27,29,TEXT_TABLE_ACCURATE,3,"good_text_layer,complex_table_signal",32,1.0,2119,0.004228,0.8,0,595.28
0.6177,0.0056,0,[],[],841.89,0.0,0.27,29,TEXT_TABLE_ACCURATE,4,"good_text_layer,complex_table_signal",32,1.0,2121,0.004232,0.8,0,595.28
0.6177,0.0054,0,[],[],841.89,0.0,0.27,29,TEXT_TABLE_ACCURATE,5,"good_text_layer,complex_table_signal",32,1.0,2120,0.00423,0.8,0,595.28
