code,evidence,level,message,mode,page,score,suggested_action,target
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""ScannedIntakePacket1C05-SCAN-P01-ANCHOR"", ""tablemarkerC05-IMAGE-NOTE-P01""], ""vlm_values"": [""C05-SCAN-P01-ANCHOR"", ""C05-IMAGE-NOTE-P01""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,1,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 2, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,1,0.8,raw_outputのOCR/VLM候補値を確認してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""ScannedIntakePacket2C05-SCAN-P02-ANCHOR"", ""tablemarkerC05-IMAGE-NOTE-P02""], ""vlm_values"": [""C05-SCAN-P02-ANCHOR"", ""C05-IMAGE-NOTE-P02""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,2,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 2, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,2,0.8,raw_outputのOCR/VLM候補値を確認してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""ScannedIntakePacket3C05-SCAN-P03-ANCHOR"", ""tablemarkerC05-IMAGE-NOTE-P03""], ""vlm_values"": [""C05-SCAN-P03-ANCHOR"", ""C05-IMAGE-NOTE-P03""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,3,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 2, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,3,0.8,raw_outputのOCR/VLM候補値を確認してください。,
CRITICAL_VALUE_DISAGREEMENT,"{""field_type"": ""id"", ""ocr_values"": [""ScannedIntakePacket4C05-SCAN-P04-ANCHOR"", ""tablemarkerC05-IMAGE-NOTE-P04""], ""vlm_values"": [""C05-SCAN-P04-ANCHOR"", ""C05-IMAGE-NOTE-P04""]}",needs_retry,id のOCR/VLM読み取り結果が一致しません。,IMAGE_RECONCILE,4,0.9,該当ページを確認し、必要なら高解像度で再投入してください。,
MASKED_AS_UNKNOWN,"{""masked_value_count"": 2, ""masked_cell_count"": 0, ""invalid_value_count"": 0}",warning,safe出力で低信頼箇所を読み取り不明に置換しました。,IMAGE_RECONCILE,4,0.8,raw_outputのOCR/VLM候補値を確認してください。,
