complex_table_score,elapsed_seconds,embedded_visual_region_count,embedded_visual_regions,extra_actions,height,image_area_ratio,image_read_risk_score,line_count,mode,page,reasons,rect_count,table_score,text_chars,text_density,text_quality_score,visual_reference_count,width
0.3552,0.0145,0,[],[],841.89,0.0,0.2222,15,TEXT_TABLE_FAST,1,"good_text_layer,simple_table_signal",22,0.7612,735,0.001467,0.8,0,595.28
0.3552,0.0015,0,[],[],841.89,0.0,0.2222,15,TEXT_TABLE_FAST,2,"good_text_layer,simple_table_signal",22,0.7612,735,0.001467,0.8,0,595.28
0.3552,0.0015,0,[],[],841.89,0.0,0.2222,15,TEXT_TABLE_FAST,3,"good_text_layer,simple_table_signal",22,0.7612,735,0.001467,0.8,0,595.28
